atr_sumana,0,0,This type of onion can help fight drug-resistant tuberculosis : This looks like normal onion available in India . http:// ecoti.in/n6n7bY via @ETPanache,@ETPanache,,956315678830575616,https://twitter.com/atr_sumana/status/956315678830575616
RachLsing,1,1,Xiaomi Usurps Samsung to Become Top Smartphone Seller in India https://www. nytimes.com/reuters/2018/0 1/24/technology/24reuters-india-smartphones.html …,,,956315670328827905,https://twitter.com/RachLsing/status/956315670328827905
SalvajeUnitario,0,0,¿ en un lago de India ?,,,956315648136708096,https://twitter.com/SalvajeUnitario/status/956315648136708096
TRlVIUM,0,0,IPA India pale ale Good alphabet,,,956315632290627584,https://twitter.com/TRlVIUM/status/956315632290627584
igodeep96,25,49,Bruh.. - India is 116th in GDP per capita (roughly how much average person makes) -112th in Health Care -Rape is widespread in the country No thanks. https:// twitter.com/narendramodi/s tatus/955813988960428037 …,,,956315630919176192,https://twitter.com/igodeep96/status/956315630919176192
Theo_Todd1,0,0,You what,,,956315627563700224,https://twitter.com/Theo_Todd1/status/956315627563700224
thraxxxgang,0,1,Listen to India Freestyle by Lizzle #np on #SoundCloud https:// soundcloud.com/lizzlethrvxxx/ india-freestyle …,,#np #SoundCloud,956315626620030976,https://twitter.com/thraxxxgang/status/956315626620030976
Uma29430484,0,0,"#IndiaWithPadmaavat : Easiest way to divide India is by these caste/communal issues... The whole reason why Mugals could rule over us for centuries in the first place, and even British. Sadly, we are not INDIANS. We identify ourselves by the caste we belong to...",,#IndiaWithPadmaavat,956315615916011520,https://twitter.com/Uma29430484/status/956315615916011520
aIndicastro,0,1,Dei um ursinho de pelúcia pro meu porquinho da índia descobri q ele quer muito uma namorada,,,956315594609037315,https://twitter.com/aIndicastro/status/956315594609037315
UKfilmchick,0,1,"The Finance 202, Davos Edition: Trump trade officials and India may be on a collision course - My San Antonio https:// apple.news/AOj0Kn7FuQf2Kr xkSk03UuA …",,,956315588204400640,https://twitter.com/UKfilmchick/status/956315588204400640
